Kennzeichen;Identnummer;Bankleitzahl;Institutsart;Sektor;Firmenbuchnummer;Bankenname;Stra�e;PLZ;Ort;Postadresse / Stra�e;Postadresse / PLZ;Postadresse / Ort;Postfach;Bundesland;Telefon;Fax;E-Mail;SWIFT-Code;Homepage;Gr�ndungsdatum;LEI
Hauptanstalt;285951;35066;KI;Raiffeisen;67417v;Raiffeisenbank Unken eGen;Niederland 103;5091;Unken;;;;;Salzburg;06589/4235;06589/423513;info@unken.raiffeisen.at;RVSAAT2S066;www.unken.raiffeisen.at;02.02.1920;529900BIJJGJJXO33652
Hauptanstalt;285960;35017;KI;Raiffeisen;68012v;Raiffeisenbank Golling-Scheffau-Kellau registrierte Genossenschaft mit beschr�nkter Haftung;Markt 45;5440;Golling an der Salzach;;;;;Salzburg;06244/5252;06244/525273;info@golling.raiffeisen.at;RVSAAT2S017;www.golling.raiffeisen.at;06.01.1911;529900KN7BJCPCXNHH34
Hauptanstalt;285978;35029;KI;Raiffeisen;70108a;Raiffeisenbank Kuchl-St. Koloman eGen;Markt 222;5431;Kuchl;;;;;Salzburg;06244/6507;06244/650717;info@kuchl.raiffeisen.at;RVSAAT2S029;www.raiffeisen.at/sbg/kuchl;30.08.1925;529900ZRHSL769NX0G06
Hauptanstalt;285994;35053;KI;Raiffeisen;71242v;Raiffeisenbank Pinzgau Mitte eGen;Lofererstr.5;5760;Saalfelden am Stein. Meer;;;;;Salzburg;06582/72218;06582/7221821;info@saalfelden.raiffeisen.at;RVSAAT2S053;www.saalfelden.raiffeisen.at;01.01.1902;5299001R65GPN5AW9T45
Hauptanstalt;2440792;19530;KI;Aktienbanken;75934v;Bankhaus Carl Sp�ngler & Co. Aktiengesellschaft;Schwarzstra�e 1;5020;Salzburg;;5024;Salzburg;41;Salzburg;0662/8686;0662/8686158;bankhaus@spaengler.at;SPAEAT2SXXX;www.spaengler.at;14.01.1994;529900CCYCFJRG4F2935
;54801;15030;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15031;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15040;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15041;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15042;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15060;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15061;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15062;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15080;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15081;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15092;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15093;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15094;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
Hauptanstalt;263702;34633;KI;Raiffeisen;121332f;Raiffeisenbank Steinbach-Gr�nburg eGen;Hauptstra�e 35;4594;Gr�nburg;;;;;Ober�sterreich;+43 72577395;+4359993490944800;info@rbsteyrtal.at;RZOOAT2L633;www.rbsteyrtal.at;23.03.1893;529900E9VBPRCM1ALD35
Hauptanstalt;266230;32990;KI;Raiffeisen;49470a;Raiffeisenbank Region Waldviertel Mitte eGen;Landstra�e 23, Postfach 10;3910;Zwettl;;3910;Zwettl/N�;10;Nieder�sterreich;02822/53105;02822/531054000;info.32990@rbw4.at;RLNWATWWZWE;www.rbw4.at;05.04.1971;5299008NEDOORP72F645
Hauptanstalt;325317;35030;KI;Raiffeisen;68161m;Raiffeisenbank Flachgau Nord eGen;Hauptstr.3;5112;Lamprechtshausen;;;;;Salzburg;06274/4040;06274/4040-590;info@fn.raiffeisen.at;RVSAAT2S030;www.raiffeisen.at/sbg/flachgaunord;16.05.1920;529900351GPS9WXA2C05
Hauptanstalt;326410;35007;KI;Raiffeisen;68092k;Raiffeisenbank Anthering - Elixhausen eGen;Salzburger Stra�e 6;5102;Anthering;;;;;Salzburg;06223/2227;06223/222718;info@anthering-elixhausen.raiffeisen.at;RVSAAT2S007;www.anthering-elixhausen.raiffeisen.at;01.10.1913;529900PY8HJ7S90H3468
Hauptanstalt;326437;35016;KI;Raiffeisen;71078b;Raiffeisenbank Faistenau-Hintersee eGen;Am Lindenplatz 2;5324;Faistenau;;;;;Salzburg;06228/2220;06228/222031;info@faistenau.raiffeisen.at;RVSAAT2S016;www.faistenau.raiffeisen.at;27.01.1901;529900SBTI63M33ETL90
Hauptanstalt;2632675;20334;KI;Sparkassen;137919y;Sparkasse M�hlviertel-West Bank Aktiengesellschaft;Stadtplatz 24;4150;Rohrbach-Berg;;4150;Rohrbach-Berg;2;Ober�sterreich;050100/42800;050100/942800;smw@smw.at;SMWRAT21XXX;www.sparkasse.at/smw;25.09.1995;529900JJ5V5FF6B1BP91
Filiale;2673665;19100;ZW;� 9 Institute;140266z;Deutsche Bank Aktiengesellschaft Filiale Wien;Fleischmarkt 1;1010;Wien;;1013;Wien;8;Wien;01/531810;01/5318114;;DEUTATWWXXX;www.db.com;23.08.1996;
;54801;15095;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15110;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15120;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15121;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15122;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15123;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15130;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15135;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15131;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15132;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15133;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15022;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
Hauptanstalt;266396;34530;KI;Raiffeisen;120908g;Raiffeisenbank St. Marien eGen;Nr. 19;4502;St. Marien bei Neuhofen;;;;;Ober�sterreich;07227/8196;07227/819642726;rb-stmarien@raiffeisen-ooe.at;RZOOAT2L530;www.raiffeisen-ooe.at/stmarien;05.06.1917;5299005TKVFZBU7P6A67
Hauptanstalt;266450;36291;KI;Raiffeisen;38777a;Raiffeisenbank Vorderes �tztal eGen;Hauptstr. 64;6433;Oetz;;;;;Tirol;05999/36291;05252/2267;rvoe@rbgt.raiffeisen.at;RZTIAT22291;www.raiffeisen.at/vorderes-oetztal;29.05.1930;52990016NV2PXFIVWW61
Hauptanstalt;266493;36353;KI;Raiffeisen;39863y;Raiffeisenbank Pitztal eGen;Unterdorf 18;6473;Wenns;;;;;Tirol;05999/36353;05999/3635359090;pitztal@rbgt.raiffeisen.at;RZTIAT22353;www.raiffeisen.at/pitztal;28.11.1982;529900UL1TXJ2CX4G795
Hauptanstalt;370525;35047;KI;Raiffeisen;70019w;Raiffeisenbank Salzburger Seenland eGen;Hauptstra�e 52;5201;Seekirchen am Wallersee;;;;;Salzburg;06212/6366;06212/636699;info@rb-seenland.at;RVSAAT2S047;www.raiffeisen.at/sbg/salzburger-seenland;26.10.1924;529900HQQ5B304CEBH51
Hauptanstalt;371009;35060;KI;Raiffeisen;68225g;Raiffeisenbank St. Martin-Lofer-Wei�bach eGen;St. Martin Nr.7;5092;St. Martin bei Lofer;;;;;Salzburg;06588/8000;06588/800053;info@sanktmartin.raiffeisen.at;RVSAAT2S060;www.sanktmartin.raiffeisen.at;01.01.1896;5299006QOEXB5SXL4028
Hauptanstalt;371467;35064;KI;Raiffeisen;70746p;Raiffeisenbank Taxenbach eGen;Raiffeisenstr.1;5660;Taxenbach;;;;;Salzburg;06543/5227;06543/522733;info@taxenbach.raiffeisen.at;RVSAAT2S064;www.taxenbach.raiffeisen.at;12.12.1889;529900L2BWCD9XBNJL68
Hauptanstalt;371475;35065;KI;Raiffeisen;71262y;Raiffeisenbank Fuschlsee West eGen;Wolfgangseestr. 26;5322;Hof bei Salzburg;;;;;Salzburg;06229 22 40-0;06229 22 40-125;info@fuschlseewest.raiffeisen.at;RVSAAT2S065;www.fuschlseewest.raiffeisen.at;18.03.1894;529900FPB63BJZ91F272
Hauptanstalt;2711192;19650;KI;Aktienbanken;142199t;DenizBank AG;Thomas-Klestil-Platz 1;1030;Wien;;1015;Wien;85;Wien;0505105/2020;0505105/2029;service@denizbank.at;ESBKATWWXXX;www.denizbank.at;04.02.1996;529900ZVK4VTIS0TOT43
Hauptanstalt;2773899;19150;KI;Aktienbanken;144838y;Kathrein Privatbank Aktiengesellschaft;Wipplingerstra�e 25;1010;Wien;;;;;Wien;01/53451;01/53451221;privatbank@kathrein.at;KTBKATWWXXX;www.kathrein.at;30.04.1996;529900TXPMGGJR19EY42
Hauptanstalt;3369056;58000;KI;Landeshypothekenbanken;145586y;Hypo Vorarlberg Bank AG;Hypo-Passage 1;6900;Bregenz;;6901;Bregenz;329;Vorarlberg;050414/1000;050414/1050;info@hypovbg.at;HYPVAT2BXXX;www.hypovbg.at;01.07.1996;NS54DT27LJMDYN1YFP35
Hauptanstalt;3404218;12000;KI;Aktienbanken;150714p;UniCredit Bank Austria AG;Rothschildplatz 1;1020;Wien;;1011;Wien;35;Wien;050505;050505/56155;info@unicreditgroup.at;BKAUATWWXXX;www.bankaustria.at;18.09.1996;D1HEB8VEU6D9M8ZUXG17
;54801;15150;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15134;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15023;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15024;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15151;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15025;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15013;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;57177;17400;;Aktienbanken;91810s;BKS Bank AG;St. Veiter Ring 43;9020;Klagenfurt;;;;;K�rnten;0463/58580;0463/5858329;bks@bks.at;BFKKAT2KXXX;www.bks.at;25.02.1922;529900B9P29R8W03IX88
;57177;17100;;Aktienbanken;91810s;BKS Bank AG;St. Veiter Ring 43;9020;Klagenfurt;;;;;K�rnten;0463/58580;0463/5858329;bks@bks.at;BFKKAT2KXXX;www.bks.at;25.02.1922;529900B9P29R8W03IX88
;57177;17200;;Aktienbanken;91810s;BKS Bank AG;St. Veiter Ring 43;9020;Klagenfurt;;;;;K�rnten;0463/58580;0463/5858329;bks@bks.at;BFKKAT2KXXX;www.bks.at;25.02.1922;529900B9P29R8W03IX88
;57177;17300;;Aktienbanken;91810s;BKS Bank AG;St. Veiter Ring 43;9020;Klagenfurt;;;;;K�rnten;0463/58580;0463/5858329;bks@bks.at;BFKKAT2KXXX;www.bks.at;25.02.1922;529900B9P29R8W03IX88
;57177;17500;;Aktienbanken;91810s;BKS Bank AG;St. Veiter Ring 43;9020;Klagenfurt;;;;;K�rnten;0463/58580;0463/5858329;bks@bks.at;BFKKAT2KXXX;www.bks.at;25.02.1922;529900B9P29R8W03IX88
Hauptanstalt;263966;34080;KI;Raiffeisen;121230f;Raiffeisenbank Ennstal eGen;Kirchenplatz 11;4452;Ternberg;;;;;Ober�sterreich;07256/8842;07256/884288;office@rb-ennstal.at;RZOOAT2L080;www.rb-ennstal.at;28.07.1920;529900VD28IW1IHAKM38
Hauptanstalt;264032;32660;KI;Raiffeisen;109950t;Raiffeisenkasse Pottschach registrierte Genossenschaft mit beschr�nkter Haftung;Pottschacher Stra�e 8;2630;Ternitz;;;;;Nieder�sterreich;02630/38345;02630/3834514;info.32660@rb-32660.raiffeisen.at;RLNWATW1660;https://www.raiffeisen.at/noew/pottschach/de/privatkunden.html;27.03.1894;5299002RGNAWS7XHZY19
Hauptanstalt;264083;34770;KI;Raiffeisen;93799s;Raiffeisenbank Wels S�d eGen;P.-B.-Rodlbergerstra�e 25;4600;Thalheim bei Wels;;;;;Ober�sterreich;07242/66326;07242/6632647850;office@raiffeisenbank-wels-sued.at;RZOOAT2L770;www.raiffeisenbank-wels-sued.at;02.03.1909;529900IE8J660F7TG961
Hauptanstalt;266655;34300;KI;Raiffeisen;77626g;Raiffeisenbank Region Neufelden eGen;Markt 17;4113;St. Martin im M�hlkreis;Markt 17;4113;St. Martin im M�hlkreis;;Ober�sterreich;+43 7232 2232 0;;office@rbneufelden.at;RZOOAT2L300;www.rbneufelden.at;15.01.1900;529900XUR3TQNOWU1A10
Hauptanstalt;266710;39257;KI;Raiffeisen;110960b;Raiffeisenbank Arnoldstein-F�rnitz eG;Gemeindeplatz 2;9601;Arnoldstein;;9601;Arnoldstein;9;K�rnten;04255/3343;04255/3343925718;rb.arnoldstein@rbgk.raiffeisen.at;RZKTAT2K257;www.rbaf.at;15.11.1900;529900OL5NTOFKSAFG74
Hauptanstalt;266728;34540;KI;Raiffeisen;110732t;Raiffeisenbank St. Roman eGen;Altendorf 29;4793;St. Roman bei Sch�rding;;;;;Ober�sterreich;07716/7363;07716/736324;rb-st.roman@raiffeisen-ooe.at;RZOOAT2L540;www.raiffeisen-ooe.at/st-roman;11.09.1908;529900AIY0IED6IR0W74
Hauptanstalt;266809;39267;KI;Raiffeisen;110971v;Raiffeisen-Bezirksbank Spittal/Drau, registrierte Genossenschaft mit beschr�nkter Haftung;Burgplatz 2;9800;Spittal an der Drau;;9800;Spittal/Drau;22;K�rnten;04762/61701;04762/6170120;rbb.spittal-drau@rbgk.raiffeisen.at;RZKTAT2K267;www.raiffeisen.at/ktn;10.12.1902;529900LYL30YXPC9A987
Hauptanstalt;3574865;31500;KI;Raiffeisen;156992x;NOTARTREUHANDBANK AG;Landesgerichtsstra�e 20;1010;Wien;;;;;Wien;01/5356886;01/5356886250;office@ntbag.at;NTBAATWWXXX;www.notartreuhandbank.at;04.03.1997;529900RVK6LBT03TLA42
Hauptanstalt;3613640;54000;KI;Landeshypothekenbanken;157656y;Ober�sterreichische Landesbank Aktiengesellschaft;Landstr. 38;4010;Linz;;4010;Linz;259;Ober�sterreich;0732/7639;0732/7639205;office@hypo-ooe.at;OBLAAT2LXXX;http://www.hypo.at;21.04.1997;529900BI5KIGX6YLX375
Filiale;5953413;75100;ZW;� 9 Institute;237384w;State Street Bank International GmbH Filiale Wien;Graben 19;1010;Wien;Graben 19;1010;Wien;;Wien;01/25393100;01/25393499;clientserviceaustria@statestreet.com;SBOSATWWXXX;https://www.statestreet.com/about/office-locations.html;25.07.2003;54930088CDN3HCA4SG14
;57193;16310;;Aktienbanken;32942w;Bank f�r Tirol und Vorarlberg Aktiengesellschaft;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;0505333/1662;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16320;;Aktienbanken;32942w;Bank f�r Tirol und Vorarlberg Aktiengesellschaft;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;0505333/1662;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16460;;Aktienbanken;32942w;Bank f�r Tirol und Vorarlberg Aktiengesellschaft;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;0505333/1662;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16330;;Aktienbanken;32942w;Bank f�r Tirol und Vorarlberg Aktiengesellschaft;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;0505333/1662;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16340;;Aktienbanken;32942w;Bank f�r Tirol und Vorarlberg Aktiengesellschaft;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;0505333/1662;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16350;;Aktienbanken;32942w;Bank f�r Tirol und Vorarlberg Aktiengesellschaft;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;0505333/1662;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16360;;Aktienbanken;32942w;Bank f�r Tirol und Vorarlberg Aktiengesellschaft;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;0505333/1662;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
